Date,Longitude,Latitude,Ozone.8.hr.max.
2005-05-22,-95.946,41.782,49.25
2005-05-22,-91.652,41.911,44.88
2005-05-22,-91.527,42.281,50.13
2005-05-22,-95.044,40.971,40.25
2005-05-22,-94.693,43.123,44.13
2005-05-22,-93.572,41.608,52.88
2005-05-22,-90.522,41.699,52.87
2005-05-22,-90.431,41.647,53.13
2005-05-22,-93.696,41.881,46.5
2005-05-22,-92.006,40.695,54.5
2005-05-22,-95.224,39.004,57.13
2005-05-22,-94.746,38.839,66.25
2005-05-22,-94.951,39.327,56.38
2005-05-22,-94.732,38.136,64.25
2005-05-22,-97.337,37.781,54.5
2005-05-22,-97.314,37.701,65.5
2005-05-22,-97.366,37.477,61.5
2005-05-22,-94.636,39.118,52.75
2005-05-22,-83.737,36.608,53.63
2005-05-22,-84.853,38.918,59.87
2005-05-22,-82.641,38.459,55.13
2005-05-22,-84.452,39.066,58.75
2005-05-22,-82.988,38.238,43
2005-05-22,-87.324,36.912,59.25
2005-05-22,-87.076,37.781,58.75
2005-05-22,-86.148,37.131,56.13
2005-05-22,-84.468,38.126,40.75
2005-05-22,-84.5,38.065,54.13
2005-05-22,-82.732,38.548,47.75
2005-05-22,-86.897,37.939,56.25
2005-05-22,-85.852,37.706,54.12
2005-05-22,-87.463,37.871,57.88
2005-05-22,-85.578,38.137,55.25
2005-05-22,-85.896,38.061,50.63
2005-05-22,-85.712,38.264,54.63
2005-05-22,-84.589,37.893,54.88
2005-05-22,-84.525,39.072,54.75
2005-05-22,-88.393,37.156,59.5
2005-05-22,-88.573,37.058,55.38
2005-05-22,-87.254,37.606,57.5
2005-05-22,-86.956,37.32,52.87
2005-05-22,-85.443,38.399,63
2005-05-22,-83.22,37.283,46.5
2005-05-22,-82.535,37.483,40.25
2005-05-22,-84.612,37.097,54.13
2005-05-22,-86.566,36.709,59
2005-05-22,-88.014,36.901,58.63
2005-05-22,-86.251,37.037,53.13
2005-05-22,-93.144,30.492,74.88
2005-05-22,-93.75,32.534,90.25
2005-05-22,-93.372,30.143,90.5
2005-05-22,-93.284,30.262,77.13
2005-05-22,-93.578,30.228,90.88
2005-05-22,-91.183,30.419,98.75
2005-05-22,-91.177,30.461,86
2005-05-22,-91.056,30.7,72.13
2005-05-22,-91.207,30.587,97
2005-05-22,-92.46,31.502,66.75
2005-05-22,-91.425,30.4,88.63
2005-05-22,-91.316,30.221,70.25
